id,source,city,location_text,latitude,longitude,travel_time,transport_method,safety_rating,description,created_at
0,google_form,Nazimabad,"Nazimabad, sadar",,,Evening,,3,Poor road conditions. Bus stops. Better sidewalks. Travelling alone. Yes,2026-08-27 18:55:42.164918
1,google_form,Nazimabad,"Nazimabad, sadar",,,Evening,,3,Poor road conditions. Bus stops. Better sidewalks. Travelling alone. Yes,2026-08-27 19:02:49.914579
2,google_form,Nazimabad,"Nazimabad, sadar",,,Evening,,3,Poor road conditions. Bus stops. Better sidewalks. Travelling alone. Yes,2026-08-27 19:03:40.914978
3,google_form,up more,up more,,,All times,,3,Lack of security. ajmer nagri. Police/security presence. Finding safe transport. no. nothing. beaware all time,2026-08-28 11:12:41.674033
4,google_form,Nazimabad,"Nazimabad, sadar",,,Evening,,3,Poor road conditions. Bus stops. Better sidewalks. Travelling alone. Yes,2026-08-30 19:02:11.642852
5,google_form,up more,up more,,,All times,,3,Lack of security. ajmer nagri. Police/security presence. Finding safe transport. no. nothing. beaware all time,2026-08-30 19:02:11.642852
6,google_form,Nazimabad,"Nazimabad, board office, lasbella, numaish sadder tariq road",,,Morning,,5,Lack of people around. All stations 🥲. Security cameras. Finding safe transport. Yes or no. Some people touch me on my back 😭😢. Womens always safe 😑,2026-08-30 19:02:11.642852
7,google_form,Nazimabad,"Nazimabad, sadar",,,Evening,,3,Poor road conditions. Bus stops. Better sidewalks. Travelling alone. Yes,2026-08-31 12:23:51.360694
8,google_form,up more,up more,,,All times,,3,Lack of security. ajmer nagri. Police/security presence. Finding safe transport. no. nothing. beaware all time,2026-08-31 12:23:51.360694
9,google_form,Nazimabad,"Nazimabad, board office, lasbella, numaish sadder tariq road",,,Morning,,5,Lack of people around. All stations 🥲. Security cameras. Finding safe transport. Yes or no. Some people touch me on my back 😭😢. Womens always safe 😑,2026-08-31 12:23:51.360694
10,google_form,From Orangi to Nazimabad,From Orangi to Nazimabad,,,Morning,,3,"Unsafe transport availability. Orangi 5 rpund about. Police/security presence. Finding safe transport. No,it is only route. Tranffic pressure,no safety  ,no tranffic light. No",2026-08-31 12:23:51.360694
11,google_form,Gulshan,"Gulshan, nagan, 4k, Hamdard University HUB area, north nazimabad (5 star, board office etc) millennium mall, national stadium road.",,,Night,,3,Heavy traffic. Waiting for the bus iin the bus stop in the morning always feels unsafe. Police/security presence. Poor infrastructure. Not really. Nothing in particular other than known things. Always prefer rikshaw over uber/indrive cars,2026-08-31 15:52:20.803086
12,google_form,Shahre Faisal,"Shahre Faisal, defence phase 6",,,Morning,,3,"Poor road conditions. Baloch pull. Security cameras. Poor infrastructure. When Theres large traffic and there’s a protest/gathering/road blockage. Friends experienced a robbery there. Surveillance, infrastructure, lighting",2026-08-31 15:52:20.803086
13,google_form,Highway,Highway,,,Night,,3,Heavy traffic. Ok. Police/security presence. Evening/night travel. Yes. Yes. No,2026-08-31 15:52:20.803086
14,app_survey,Karachi,University Road,,,night,walking,2,"Road has no lights, feels unsafe walking alone at night",2026-08-31 16:02:26.047815
15,google_form,Nazimabad,"Nazimabad, sadar",,,Evening,,3,Poor road conditions. Bus stops. Better sidewalks. Travelling alone. Yes,2026-08-31 16:06:45.112841
16,google_form,up more,up more,,,All times,,3,Lack of security. ajmer nagri. Police/security presence. Finding safe transport. no. nothing. beaware all time,2026-08-31 16:06:45.112841
17,google_form,Nazimabad,"Nazimabad, board office, lasbella, numaish sadder tariq road",,,Morning,,5,Lack of people around. All stations 🥲. Security cameras. Finding safe transport. Yes or no. Some people touch me on my back 😭😢. Womens always safe 😑,2026-08-31 16:06:45.112841
